timestamp,open,high,low,close,volume
2023-03-03,0.08057,0.08059,0.07186,0.0768,1084796160
2023-03-04,0.0768,0.07724,0.07251,0.07458,416619205
2023-03-05,0.07458,0.07602,0.07425,0.07473,395755637
2023-03-06,0.07473,0.07509,0.07315,0.07475,347292076
2023-03-07,0.07475,0.07594,0.07227,0.07402,617759370
2023-03-08,0.07402,0.0743,0.06987,0.07109,655472566
2023-03-09,0.07109,0.07226,0.06383,0.06593,1497019985
2023-03-10,0.06593,0.06613,0.06248,0.0657,1247511143
2023-03-11,0.0657,0.06815,0.06319,0.06603,1105317735
2023-03-12,0.06603,0.07084,0.06511,0.07049,749943440
2023-03-13,0.07049,0.07348,0.06809,0.07276,879710462
2023-03-14,0.07276,0.07764,0.07106,0.07463,1258231885
2023-03-15,0.07463,0.07595,0.06734,0.06963,1113249232
2023-03-16,0.06963,0.07409,0.06868,0.07255,1066375978
2023-03-17,0.07255,0.07724,0.07143,0.07644,1305229523
2023-03-18,0.07644,0.07894,0.07195,0.07291,1663337521
2023-03-19,0.07291,0.07653,0.07291,0.0745,694345062
2023-03-20,0.0745,0.07555,0.07029,0.07133,908690929
2023-03-21,0.07133,0.07791,0.07026,0.07663,1389376306
2023-03-22,0.07663,0.07808,0.07139,0.07383,1547726919
2023-03-23,0.07383,0.07914,0.07292,0.07732,1464630363
2023-03-24,0.07732,0.07745,0.07283,0.07454,964429012
2023-03-25,0.07454,0.07593,0.07238,0.07401,586842841
2023-03-26,0.07401,0.07543,0.0733,0.07431,435178379
2023-03-27,0.07431,0.07614,0.07118,0.07285,1143920657
2023-03-28,0.07285,0.07401,0.07161,0.07378,483284988
2023-03-29,0.07378,0.07683,0.07347,0.07555,732093533
2023-03-30,0.07555,0.07683,0.07314,0.07418,777624879
2023-03-31,0.07418,0.0779,0.07335,0.07695,809960100
2023-04-01,0.07695,0.08328,0.07588,0.08182,2534992860
2023-04-02,0.08182,0.08562,0.07695,0.07905,4062179642
2023-04-03,0.07905,0.10589,0.07572,0.09597,16019333798
2023-04-04,0.09597,0.10348,0.0921,0.09516,11947465994
2023-04-05,0.09516,0.09922,0.09017,0.09268,5983180733
2023-04-06,0.09268,0.09282,0.08367,0.08538,6761662519
2023-04-07,0.08538,0.0862,0.08103,0.08221,3770170791
2023-04-08,0.08221,0.0838,0.08002,0.0813,1801852733
2023-04-09,0.0813,0.08391,0.08103,0.08312,1714638421
2023-04-10,0.08312,0.08536,0.08207,0.0847,1446745855
2023-04-11,0.0847,0.08572,0.08357,0.08407,1282063904
2023-04-12,0.08407,0.08472,0.08008,0.0834,1962367498
2023-04-13,0.0834,0.08894,0.08281,0.08734,2887239487
2023-04-14,0.08734,0.09149,0.08526,0.08869,3209990182
2023-04-15,0.08869,0.09061,0.08721,0.08889,1169976851
2023-04-16,0.08889,0.0919,0.08758,0.09048,1739590969
2023-04-17,0.09048,0.09499,0.08809,0.0914,4805970929
2023-04-18,0.0914,0.09518,0.08971,0.09416,2693172751
2023-04-19,0.09416,0.09416,0.08379,0.08786,3685217678
2023-04-20,0.08786,0.09361,0.08243,0.08385,6636887779
2023-04-21,0.08385,0.08467,0.07577,0.07839,2663692966
2023-04-22,0.07839,0.08099,0.07812,0.08027,957694982
2023-04-23,0.08027,0.08082,0.07643,0.07875,1019523793
2023-04-24,0.07875,0.08006,0.07708,0.07871,884987733
2023-04-25,0.07871,0.07994,0.07746,0.07972,832102200
2023-04-26,0.07972,0.08357,0.07446,0.07854,2484776600
2023-04-27,0.07854,0.08095,0.07833,0.08011,1136865045
2023-04-28,0.08011,0.0807,0.07891,0.08026,553472367
2023-04-29,0.08026,0.08192,0.08014,0.08152,600899267
2023-04-30,0.08152,0.08173,0.07918,0.07945,522701707
2023-05-01,0.07945,0.07998,0.0773,0.07877,871930532
2023-05-02,0.07877,0.07906,0.07743,0.07871,491913287
2023-05-03,0.07871,0.08065,0.07705,0.07958,698689870
2023-05-04,0.07958,0.07969,0.0779,0.07835,487708415
2023-05-05,0.07835,0.08146,0.07667,0.08014,746825581
2023-05-06,0.08014,0.08048,0.07564,0.07666,678515290
2023-05-07,0.07666,0.07746,0.07612,0.07649,353948576
2023-05-08,0.07649,0.07706,0.0696,0.07235,1427905484
2023-05-09,0.07235,0.07326,0.07204,0.07305,502969529
